date,duration_mins,avg_heart_rate,sleep_mins,activity_type,distance_miles,steps,distance_meters
2026-06-10,23,99,439,Walk,,3730,
2026-06-11,23,105,413,Run,1.79,,
2026-06-12,130,185,280,Run,14,,
2026-06-13,19,102,400,Swim,,,633
2026-06-14,20,95,404,Walk,,3863,
2026-06-15,25,104,433,Run,1.75,,
2026-06-16,25,105,422,Bike,5.07,,
2026-06-17,19,101,401,Swim,,,563
2026-06-18,25,104,417,Walk,,4139,
2026-06-19,23,96,417,Run,1.58,,
2026-06-20,120,180,290,Run,13,,
2026-06-21,20,99,419,Swim,,,564
2026-06-22,23,96,408,Walk,,3949,
2026-06-23,24,100,407,Run,1.66,,
2026-06-24,22,103,419,Bike,4.36,,
2026-06-25,24,97,430,Swim,,,665
2026-06-26,21,103,428,Walk,,4040,
2026-06-27,23,100,404,Run,1.21,,
2026-06-28,24,96,430,Bike,5.76,,
2026-06-29,21,102,416,Swim,,,648
2026-06-30,21,105,410,Walk,,3889,
2026-07-01,72,153,318,Walk,,9130,
2026-07-02,150,190,270,Run,16,,
2026-07-03,76,154,319,Bike,20.02,,
2026-07-04,76,155,340,Swim,,,2197
2026-07-05,74,155,330,Walk,,9082,
2026-07-06,150,190,270,Run,16,,
2026-07-07,74,153,320,Bike,19.04,,
