date,duration_mins,avg_heart_rate,sleep_mins,activity_type,distance_miles,steps,distance_meters
2026-06-10,28,115,377,Walk,,5861,
2026-06-11,30,121,411,Walk,,6083,
2026-06-12,30,117,401,Walk,,5696,
2026-06-13,27,120,408,Walk,,6043,
2026-06-14,33,114,398,Walk,,6312,
2026-06-15,29,117,430,Walk,,6205,
2026-06-16,27,119,371,Walk,,5631,
2026-06-17,27,122,430,Walk,,5609,
2026-06-18,30,117,416,Walk,,6032,
2026-06-19,27,122,418,Walk,,5827,
2026-06-20,30,121,384,Walk,,6166,
2026-06-21,29,117,384,Walk,,6293,
2026-06-22,33,121,429,Walk,,5896,
2026-06-23,27,120,429,Walk,,6169,
2026-06-24,32,115,410,Walk,,5790,
2026-06-25,32,118,417,Walk,,5723,
2026-06-26,29,122,402,Walk,,6032,
2026-06-27,33,117,388,Walk,,5910,
2026-06-28,31,121,395,Walk,,6117,
2026-06-29,31,114,385,Walk,,6091,
2026-06-30,32,120,412,Walk,,6024,
2026-07-01,28,119,426,Walk,,6161,
2026-07-02,32,119,398,Walk,,5688,
2026-07-03,32,122,419,Walk,,5710,
2026-07-04,28,122,393,Walk,,6002,
2026-07-05,30,114,372,Walk,,6080,
2026-07-06,29,120,380,Walk,,6262,
2026-07-07,28,122,370,Walk,,5832,
