date,duration_mins,avg_heart_rate,sleep_mins,activity_type,distance_miles,steps,distance_meters
2026-06-10,22,107,430,Walk,,4603,
2026-06-11,25,112,400,Run,1.52,,
2026-06-12,26,104,396,Bike,5.25,,
2026-06-13,95,170,300,Run,10,,
2026-06-14,23,106,410,Walk,,4843,
2026-06-15,25,109,395,Run,1.88,,
2026-06-16,27,109,395,Bike,5.41,,
2026-06-17,23,103,402,Swim,,,624
2026-06-18,21,106,406,Walk,,4790,
2026-06-19,24,107,400,Run,1.87,,
2026-06-20,20,107,404,Bike,6.72,,
2026-06-21,23,112,405,Swim,,,614
2026-06-22,20,113,429,Walk,,4807,
2026-06-23,24,105,411,Run,1.86,,
2026-06-24,27,105,430,Bike,5.55,,
2026-06-25,100,175,290,Run,11,,
2026-06-26,21,105,427,Walk,,4938,
2026-06-27,25,106,397,Run,2.04,,
2026-06-28,20,111,402,Bike,5.87,,
2026-06-29,22,104,397,Swim,,,800
2026-06-30,24,103,410,Walk,,4911,
2026-07-01,62,143,323,Walk,,7368,
2026-07-02,56,142,355,Run,5.4,,
2026-07-03,56,144,326,Bike,14.19,,
2026-07-04,59,145,325,Swim,,,1669
2026-07-05,59,145,322,Walk,,7227,
2026-07-06,58,138,352,Run,5.5,,
2026-07-07,55,137,321,Bike,15.85,,
